#,Company,Recruitment/Contact Email (from your file),Draft Created,CV Attached,Source
1,Buguard for Cybersecurity,info@buguard.sa,Yes,Attach manually,NCA list
2,I SEC Company,info@isec-group.com,Yes,Attach manually,NCA list
3,Aman Solutions for Cybersecurity,info@aman.com.sa,Yes,Attach manually,NCA list
4,DataSec,info@datasec.sa,Yes,Attach manually,NCA list
5,Appsec,info@appsec.sa,Yes,Attach manually,NCA list
6,ETQAA Cybersecurity,info@etqaa.com,Yes,Attach manually,NCA list
7,AFAQ Security for IT,info@afaqsec.com,Yes,Attach manually,NCA list
8,Diode,info@diode-sa.com,Yes,Attach manually,NCA list
9,ESafe Advanced Cybersecurity,info@besafe-tech.com,Yes,Attach manually,NCA list
10,Ahlan Arabia for Cybersecurity,info@ahlancyber.com,Yes,Attach manually,NCA list
11,Aujas Cybersecurity,contact@aujas.com,Yes,Attach manually,NCA list
12,IGRC SQUARE,info@igrcsquare.com,Yes,Attach manually,NCA list
13,SecureMagnus,info@securemagnus.com,Yes,Attach manually,NCA list
14,Cybershelter Infosec Solutions,info@cybershelter.com,Yes,Attach manually,NCA list
15,Sunlit Horizon Arks Business Services,info@sharks.sa,Yes,Attach manually,NCA list
16,Scanwave Comprehensive Technical Solutions,info@scanwave.io,Yes,Attach manually,NCA list
17,TAHKAM for Communications and Information,info@tahcom.com,Yes,Attach manually,NCA list
18,Data Lock,info@data-lockco.com,Yes,Attach manually,NCA list
19,TrustLink,info@trustlink.sa,Yes,Attach manually,NCA list
20,Infratech,info@infratech.com.sa,Yes,Attach manually,NCA list
21,Etihad Etisalat (Mobily),careers@mobily.com.sa,Yes,Attach manually,NCA list (recruitment email)
22,International Systems Engineering (ISE),info@ise.sa,Yes,Attach manually,NCA list
23,Alarabiya Systems Engineering (ASE),info@ase.sa,Yes,Attach manually,NCA list
24,Arabic Computer Systems (ACS),info@acs.com.sa,Yes,Attach manually,NCA list
25,Integrated Telecom Technologies,info@itelecom.com.sa,Yes,Attach manually,NCA list
26,ITISCO Integrated Solutions,info@itisco.com.sa,Yes,Attach manually,NCA list
27,Future Technologies,info@ftech.sa,Yes,Attach manually,NCA list
28,Innovative Quality Technologies,info@innoqtech.com,Yes,Attach manually,NCA list
29,Holla Information Technology,info@holla.sa,Yes,Attach manually,NCA list
30,Inovasys International,info@inovasys.com,Yes,Attach manually,NCA list
31,ACET Solutions,info@acetsolutions.com,Yes,Attach manually,NCA list
32,Ebana Consulting and Research,info@ebana.com.sa,Yes,Attach manually,NCA list
33,FITS Al Khaleej,info@firstinfotech.com,Yes,Attach manually,NCA list
34,Ingaz Almutahida (UITech),info@uitech.sa,Yes,Attach manually,NCA list
35,Aarcalev Technology,info@aarcalev.com,Yes,Attach manually,NCA list
36,EBTTIKAR Technology,info@ebttikar.com,Yes,Attach manually,NCA list
37,Sharp Innvotech,info@sharpinnvotech.com,Yes,Attach manually,NCA list
38,Creative Media (eDesign),info@edesign.com.sa,Yes,Attach manually,NCA list
39,Atria Solutions Arabia,info@atriasolutions.com,Yes,Attach manually,NCA list
40,Emaar Executive (EEC-IT),info@eec-it.sa,Yes,Attach manually,NCA list
