Company,Job Title,Location,Employment Type,Experience Required,Salary,Official Application URL,Recruitment Email,Match Score,Gmail Draft Created,Portal Ready for Submit,Notes
Accenture,Security Engineer (Saudi Nationals Only),Jeddah,Unverified (likely full-time),Unverified,Not listed,https://www.accenture.com/sa-en/careers/jobdetails?id=13600688_en,Not found (not fabricated),78%,No (generic SOC/IAM role draft available),No (portal access blocked),Saudi-national requirement fits; verify open + seniority
sirar by stc,SOC / Security roles,Jeddah (verify),Unverified,Unverified,Not listed,https://www.sirar.com.sa/about-us/careers/,Not found (not fabricated),75%,No (generic role draft available),No (portal access blocked),Pure-play cybersecurity provider; check Jeddah + entry-level
Help AG,SOC Analyst L1 / Junior,Jeddah/KSA (verify),Unverified,Unverified,Not listed,https://www.helpag.com/careers/,Not found (not fabricated),74%,No (generic SOC role draft available),No (portal access blocked),MSSP; L1 SOC strong fresh-grad fit
stc,Talent Incubation Program (Graduate Development Program),KSA (verify Jeddah),Full-time (2-year program),Fresh graduate (<1 yr),Not listed,https://careers.stc.com.sa/content/Talent-Incubation-Program/?locale=en_US,Not found (not fabricated),72%,No,No (portal access blocked),Qualifies; needs Saudi national + GPA >=3.2/4.0 (GPA not on CV)
Elm,Fresh Graduate Program,KSA (verify Jeddah),Full-time,Fresh graduate,Not listed,https://career.elm.sa/elm/go/freshgraduate/8483400/,Not found (not fabricated),70%,No,No (portal access blocked),Confirm cybersecurity role + Jeddah (Elm is Riyadh-HQ)
Deloitte Middle East,Cyber - Graduates/Students track,Jeddah (verify),Unverified,Fresh graduate,Not listed,https://middleeastjobs.deloitte.com/,Not found (not fabricated),70%,No,No (portal access blocked),Use graduate track only; skip internships
PwC Middle East,Cybersecurity - Graduate,Jeddah/KSA (verify),Unverified,Fresh graduate,Not listed,https://www.pwc.com/m1/en/careers/graduates-and-undergraduates-careers.html,Not found (not fabricated),68%,No,No (portal access blocked),Filter Graduate + Cyber + Jeddah
Al Rajhi Bank,InfoSec / SOC / GRC,Jeddah/Riyadh (verify),Unverified,Unverified,Not listed,https://careers.alrajhibank.com.sa/en/,Not found (not fabricated),62%,No,No (portal access blocked),Filter entry-level + location
Saudi National Bank (SNB),Technology / Security program,KSA (verify),Unverified,Unverified,Not listed,https://www.alahli.com/en/pages/about-us/careers,Not found (not fabricated),60%,No,No (portal access blocked),Check SNB Technology graduate track for security stream
Deloitte,Cybersecurity Expert / SOC L2,Jeddah,Unverified (likely experienced),Unverified,Not listed,https://middleeastjobs.deloitte.com/,Not found (not fabricated),60%,No,No (portal access blocked),Likely needs experience; verify level
Accenture,Security Architect (Saudi National),Jeddah/KSA,Unverified,Likely senior,Not listed,https://www.accenture.com/in-en/careers/jobdetails?id=12364472_en,Not found (not fabricated),50%,No,No (portal access blocked),Likely senior; lower priority
